"SampleId","date","stn_id","lat","lon","stn_type","stn_elev","climate_type","aqua_night_lst","aqua_emis","aqua_ndvi","elev","pop","clc_artificial","clc_water","clc_bare","clc_vegetation","TempLabel"
"id_1",2003-01-01,2031001,49.8338888888889,4.20055555555556,"4",179,"2",-5.04999999999995,0.984,0.5433,187,474,0.39,0,0,0.61,"E"
"id_2",2003-01-01,2153001,49.5533333333333,3.49833333333333,"4",100,"3",-2.84999999999997,0.985,0.5398,101,206,0.235,0,0,0.765,"D"
"id_5",2003-01-01,2301002,49.5272222222222,3.46194444444444,"4",103,"3",-3.16999999999996,0.984,0.5278,100,200,0.31,0,0,0.69,"D"
"id_6",2003-01-01,2321001,49.8363888888889,3.87944444444444,"4",183,"2",-5.04999999999995,0.984,0.5737,147,33,0.22,0,0,0.78,"D"
"id_7",2003-01-01,2321002,49.8372222222222,3.87777777777778,"1",185,"2",-5.04999999999995,0.984,0.5737,147,33,0.22,0,0,0.78,"D"
"id_12",2003-01-01,3005001,46.3594444444444,2.43361111111111,"3",373,"3",4.97000000000003,0.984,0.6926,362,9,0,0,0,1,"E"
"id_14",2003-01-01,3036002,46.58,3.04944444444444,"2",271,"3",3.95000000000005,0.984,0.6615,273,437,0.5275,0,0,0.4725,"E"
"id_15",2003-01-01,3043001,46.1872222222222,3.26777777777778,"4",313,"3",3.91000000000003,0.986,0.6127,308,436,0.4,0,0,0.6,"E"
"id_16",2003-01-01,3046001,46.4536111111111,3.00472222222222,"4",378,"3",4.71000000000004,0.984,0.6872,366,4,0,0,0,1,"E"
"id_18",2003-01-01,3060001,46.1666666666667,3.39861111111111,"0",251,"3",4.93000000000001,0.982,0.6098,253,109,0.6,0,0,0.4,"E"
"id_20",2003-01-01,3066003,46.1155555555556,3.68388888888889,"4",507,"3",4.97000000000003,0.984,0.6969,501,128,0,0,0,1,"E"
"id_21",2003-01-01,3073001,46.4880555555556,3.31666666666667,"4",234,"3",4.77000000000004,0.984,0.6173,220,45,0.05,0.28,0,0.67,"E"
"id_22",2003-01-01,3082003,46.295,2.74666666666667,"3",376,"3",4.23000000000002,0.979,0.3983,371,1144,0.915,0,0,0.085,"E"
"id_23",2003-01-01,3083002,46.3536111111111,3.29222222222222,"4",298,"3",4.51000000000005,0.985,0.5379,289,129,0,0,0,1,"E"
"id_25",2003-01-01,3108001,46.1911111111111,2.95777777777778,"2",651,"2",3.39000000000004,0.984,0.6161,664,13,0.06,0,0,0.94,"E"
"id_26",2003-01-01,3114001,46.3769444444444,3.33111111111111,"4",226,"3",4.65000000000003,0.984,0.2427,223,8,0,0.1,0,0.9,"E"
"id_27",2003-01-01,3127001,46.5011111111111,2.75722222222222,"4",246,"3",3.03000000000003,0.986,0.6673,235,1,0,0,0,1,"E"
"id_28",2003-01-01,3130002,46.6636111111111,2.73027777777778,"4",269,"3",5.27000000000004,0.983,0.5649,264,0,0,0,0,1,"E"
"id_29",2003-01-01,3149002,46.3036111111111,3.24194444444444,"4",278,"3",3.93000000000001,0.986,0.5532,288,190,0,0,0,1,"E"
"id_30",2003-01-01,3155001,46.7302777777778,2.93611111111111,"4",206,"3",4.53000000000003,0.984,0.6241,216,625,0.605,0,0,0.395,"E"
"id_31",2003-01-01,3155003,46.7183333333333,2.94777777777778,"1",225,"3",4.67000000000002,0.984,0.668,224,14,0.3725,0,0,0.6275,"E"
"id_32",2003-01-01,3159001,46.3005555555556,2.77666666666667,"4",391,"3",4.17000000000002,0.984,0.6303,388,187,0.35,0,0,0.65,"E"
"id_33",2003-01-01,3165001,46.0769444444445,3.68388888888889,"4",535,"2",3.97000000000003,0.986,0.6837,514,22,0,0,0,1,"E"
"id_36",2003-01-01,3204001,46.2836111111111,3.33861111111111,"4",243,"3",5.03000000000003,0.984,0.5026,242,4,0,0,0,1,"E"
"id_39",2003-01-01,4019001,44.3911111111111,6.67027777777778,"1",1157,"2",-3.86999999999995,0.988,0.4011,1168,142,0,0,0.19,0.81,"B"
"id_40",2003-01-01,4027002,44.1669444444444,5.86194444444444,"4",521,"6",1.23000000000002,0.984,0.4181,593,8,0,0,0.025,0.975,"D"
"id_41",2003-01-01,4039001,43.8488888888889,6.50777777777778,"4",737,"6",1.27000000000004,0.987,0.415,761,636,0.23,0,0,0.77,"C"
"id_44",2003-01-01,4096002,44.4144444444444,6.72527777777778,"4",1238,"1",-3.84999999999997,0.988,0.4825,1232,194,0.175,0,0,0.825,"A"
"id_45",2003-01-01,4112001,43.8433333333333,5.785,"4",429,"8",4.29000000000002,0.981,0.5301,474,736,0.39,0,0,0.61,"D"
"id_46",2003-01-01,4160001,43.87,5.66333333333333,"4",465,"6",3.81,0.984,0.5238,470,46,0,0,0,1,"D"
"id_47",2003-01-01,4172001,43.7936111111111,6.15083333333333,"4",663,"6",1.93000000000001,0.984,0.3549,662,0,0,0,0,1,"D"
"id_52",2003-01-01,4217001,44.16,6.13833333333333,"4",802,"6",1.45000000000005,0.984,0.4223,818,14,0,0,0,1,"C"
"id_53",2003-01-01,4230001,43.8394444444444,6.00083333333333,"1",595,"6",1.17000000000002,0.984,0.3815,584,52,0,0,0,1,"E"
"id_54",2003-01-01,5007001,44.7811111111111,6.73666666666667,"4",1692,"2",-5.86999999999995,0.985,0.0046,1754,62,0,0,0,1,"B"
